ID,CLASS,Name,smiles,vac,solv,dG298,dGsolv298,dG93.6,dGsolv93.6
1,Monomer Unit,Unit 1,C=NC=N,-3.26 kcal/mol,-8.62 kcal/mol,2.31 kcal/mol,-2.74 kcal/mol,-0.21 kcal/mol,-5.09 kcal/mol
2,Monomer Unit,Unit 2,C1=C(NC=N1)N,-20.87 kcal/mol, -27.39 kcal/mol,-15.14 kcal/mol,-19.50 kcal/mol,-17.53 kcal/mol,-23.31 kcal/mol
3,Monomer Unit,Unit 4,CC(=N)C,-8.15 kcal/mol,13.72 kcal/mol,-2.4 kcal/mol,-6.25 kcal/mol,-5.08 kcal/mol,-9.51 kcal/mol
4,Monomer Unit,Unit 6,CC(=NC(=N)C)N,-8.34 kcal/mol,-9.37 kcal/mol,-3.01 kcal/mol,-3.13 kcal/mol, -5.43 kcal/mol,-6.15 kcal/mol
5,Monomer Unit,Unit 7,CNC(=N)C(C)C#N,-13.92 kcal/mol,-18.95 kcal/mol,-8.92 kcal/mol,-12.83 kcal/mol,-11.03 kcal/mol,-15.40 kcal/mol
6,Monomer Unit,Unit 8,CC(=N)C=NC,-7.88kcal/mol,-16.79 kcal/mol,-2.69 kcal/mol,-11.24 kcal/mol,-4.98 kcal/mol,-13.06 kcal/mol
7,Molecule,HCN Dimer,C(=N)C#N,1.1 kcal/mol,-4.7 kcal/mol,-1.61 kcal/mol,-6.01 kcal/mol,-0.74 kcal/mol,-4.16 kcal/mol
8,Molecule,Aminomalononitrile,C(#N)C(C#N)N,-3.19 kcal/mol,-9.77 kcal/mol,-3.44 kcal/mol,-8.91 kcal/mol,-2.46 kcal/mol,-8.54 kcal/mol
9,Molecule,Diaminomalononitrile,C(#N)C(=C(C#N)N)N,-7.52 kcal/mol,-13.08 kcal/mol,-6.53 kcal/mol,-11.30 kcal/mol,-6.31 kcal/mol,-11.53 kcal/mol
10,Molecule,Aminoimidazolecarbonitrile,C1=NC(=C(N1)C#N)N,-13.73 kcal/mol,-20.42 kcal/mol,-11.98 kcal/mol,-17.69 kcal/mol,-12.01 kcal/mol,-18.24 kcal/mol
11,Molecule,Adenine,C1=NC2=C(N1)C(=NC=N2)N,-17.92 kcal/mol,-25.77 kcal/mol,-14.86 kcal/mol,-21.59 kcal/mol,-15.56 kcal/mol,-22.83 kcal/mol
